State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	3.16506	3.17149	3.10073	3.10073	3.27442	3.14576	3.19722	3.33232	3.55104	3.62824	3.54461	3.49314	3.51244	3.43525	3.28729	3.24869	3.37735	3.29372	3.27442	3.24869	3.13933
2	5.38907	5.51249	5.56391	5.52277	5.27594	5.31708	4.92627	4.66916	4.12408	3.69213	3.44530	3.20876	2.85909	2.85909	2.98250	3.15734	3.06478	3.15734	3.03392	3.08535	3.11620
3	4.07245	3.93803	3.90816	3.97786	3.75881	3.74885	3.61941	3.54473	3.45511	3.22610	3.16636	3.28087	3.53477	3.69906	3.63434	3.61941	3.79863	3.78370	3.64928	3.66421	3.64430
4	4.54517	4.68485	4.43772	4.22282	4.13686	3.81450	3.69631	3.42768	3.15905	3.03011	2.86894	2.53584	2.44988	2.27796	2.37466	2.43913	2.56807	2.64329	2.38541	2.25647	2.26721
5	0.62530	0.60297	0.58845	0.58287	0.59180	0.58510	0.56947	0.57505	0.58622	0.59515	0.57617	0.56835	0.54602	0.52369	0.51252	0.49689	0.47567	0.49577	0.50917	0.51140	0.51922
6	3.56903	3.56800	3.57006	3.55561	3.53082	3.49726	3.46783	3.41981	3.36507	3.30879	3.23857	3.15027	3.05165	2.96335	2.87196	2.76972	2.66128	2.57557	2.50121	2.44080	2.38400
7	1.20379	1.19651	1.20743	1.19530	1.19167	1.20258	1.20015	1.19409	1.20500	1.17833	1.18076	1.18803	1.20379	1.20015	1.20864	1.21349	1.22440	1.23167	1.23167	1.23773	1.24137
8	0.71100	0.71269	0.71386	0.71538	0.71968	0.72292	0.72583	0.73164	0.73657	0.74643	0.75919	0.76488	0.77338	0.78080	0.78758	0.79466	0.80346	0.81007	0.81757	0.82258	0.82789
9	0.52666	0.55682	0.58930	0.65891	0.64499	0.61250	0.73779	0.75635	0.74475	0.67515	0.47562	0.53594	0.58930	0.59162	0.61482	0.63570	0.55218	0.57538	0.55914	0.59162	0.58234
10	2.41065	2.34871	2.33064	2.29709	2.28677	2.40807	2.45195	2.42872	2.52422	2.54228	2.53712	2.66617	2.56551	2.59649	2.65843	2.70231	2.67133	2.60681	2.67650	2.63778	2.62488
