State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	8.04590	8.73863	9.51653	10.05595	10.08434	9.60170	8.30709	6.43899	4.62767	3.76459	3.85544	2.74821	2.86177	3.61696	5.26362	6.84214	8.36955	9.10771	9.66984	9.34619	9.01686
2	6.00029	6.97159	7.83396	9.43162	11.51947	14.46061	17.56515	21.09633	23.78330	23.96485	23.38388	26.06177	27.60496	28.01346	26.30687	23.18418	19.19003	15.66793	12.22752	10.08521	8.24246
3	4.43386	5.11059	6.12128	8.16903	11.71524	17.52452	26.11101	37.46591	48.34184	52.31869	55.19257	61.02383	54.75754	44.27710	31.78846	20.64888	12.52819	8.16903	5.76094	4.27127	3.27376
4	7.68215	9.46516	11.96898	14.33052	16.62568	17.19473	15.41172	11.91207	8.19429	5.63357	5.33957	10.73604	22.03164	37.26316	51.64110	58.27999	55.48217	46.66193	36.59927	28.37652	22.09803
5	1.77402	1.66068	1.45568	1.23492	0.91165	0.67019	0.55389	0.48983	0.46519	0.44646	0.43956	0.44646	0.46223	0.49180	0.58346	0.93728	1.77599	2.88279	3.93537	4.68736	5.16339
6	1.06921	1.00176	0.92473	0.82310	0.73878	0.65675	0.58838	0.52868	0.49131	0.48766	0.48857	0.49632	0.51136	0.53141	0.57152	0.65310	0.84589	1.09747	1.33993	1.55186	1.73963
7	0.82177	0.80358	0.79502	0.79288	0.77148	0.74259	0.73724	0.71156	0.68909	0.67732	0.67090	0.66662	0.67839	0.68160	0.68588	0.71049	0.72440	0.72440	0.73403	0.73617	0.75329
8	0.80852	0.78926	0.76372	0.72620	0.67623	0.60923	0.53435	0.45895	0.39902	0.36132	0.34098	0.34243	0.35633	0.37541	0.39965	0.43456	0.47275	0.50974	0.53562	0.55982	0.57592
9	0.88671	0.88876	0.84166	0.87237	0.99320	1.18160	1.25736	1.39047	1.39662	1.50720	1.66488	1.51744	1.11402	0.82323	0.64506	0.54063	0.49967	0.45052	0.49557	0.48738	0.54267
10	3.63587	4.15073	4.99135	6.03245	7.24897	8.48143	9.32433	9.11475	8.37891	9.50658	9.29244	4.77493	4.33753	4.68609	5.76591	6.79562	6.84118	5.77958	4.78177	3.92064	3.41718
