State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.54046	6.13178	2.67817	1.09139	3.54498	3.85556	7.21555	0.70104
2	0.33806	67.29720	7.48353	1.36762	3.44566	23.38460	16.92377	0.66649
3	0.69836	61.58188	8.77600	1.45545	3.16669	55.18987	22.13676	0.34621
4	0.32357	7.82018	3.40413	2.09811	2.86924	5.33973	19.88822	0.26350
5	3.11374	0.07517	0.64658	2.26452	0.57623	0.43958	1.36091	0.31350
6	6.73340	0.69824	3.85092	2.23565	3.23735	0.48859	0.82050	0.30576
7	2.86801	0.44166	1.03238	0.60742	1.18088	0.67092	0.78199	0.93038
8	82.53876	0.16557	0.64822	0.85617	0.75927	0.34099	0.56577	1.09862
9	1.49857	0.11862	0.73167	0.64794	0.47567	1.66493	1.06649	1.25844
10	1.34708	6.20076	2.44153	1.31203	2.53739	9.29272	6.07491	0.59422
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
