State (Emission order)	H3k27me3	H3k4me1	H3k4me2	H3k4me3	H3k9ac	H3k27ac	H3k79me2	H3k36me3	H3k09me3	H2az
1	0.6530741111267774	0.05116458130788518	0.01917118239218169	0.0029353996362483812	0.00276785754812929	0.001382942034830018	0.002324218623643746	0.0012960977107610327	0.012605655554704533	0.0031244481577399107
2	0.7516321254279569	0.3009885791501478	0.968705262588753	0.6336769798698536	0.06256543534513653	0.002000518129550196	0.0032884108763296155	8.271936993295327E-4	0.004971347235728706	0.15088178615470718
3	0.011353210481874433	0.1370128678638057	0.9336483907202373	0.9262535356769033	0.5757329275204887	0.2875245677381157	0.014638157288774411	6.23583120418902E-4	0.002142284673178637	0.29551942870156167
4	0.05538951521912266	0.19435302975533444	0.9021494456879449	0.6968363966416432	0.3981218983107365	0.23211374770855528	0.9218462307419324	0.09346166210059662	0.06086123000103098	0.10658726358335081
5	0.001875606380712216	0.034535729781812866	0.017949051784184707	0.0018994729535788668	0.0037445005688538056	0.016364226235441183	0.70900884130642	0.028862362934753735	0.01376382310052794	7.805893179897935E-4
6	0.0016162929075490857	0.007165990543832626	8.475637724128779E-4	3.336197374877097E-4	0.0032789914609698944	0.01237589277121652	0.03773260700508866	0.15444774252667293	0.0063640798959770355	1.2162337003413645E-4
7	0.011342196894252305	0.0018898832618396801	4.913954767642128E-4	9.927181655205717E-4	0.002421047956997119	0.003426367330575635	0.0028939527711730685	0.015719109375827066	0.289355977127117	0.002922474172477443
8	0.0019679465788149378	0.0028633631645758957	1.6120395934093697E-4	1.2034441723113018E-4	8.677060797576898E-4	0.00249978765710322	8.634386369692195E-4	9.130648041968964E-4	0.00699517867799771	0.006352478968389908
9	0.006330697629070833	0.0653696920847454	0.02893039373524188	0.0031108619877516317	0.010578915017504355	0.03168203157521663	0.0013158201840402309	0.0031664132710901975	0.02337423516849104	0.5246448704098766
10	0.009923302706271002	0.30290530328081555	0.27398116287410157	0.03461932830260386	0.033075299259584454	0.07322489682729659	0.01303780884848204	0.0037903029139351656	0.0064553995594076406	0.08607197111282261
