State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.8563546961265627	0.07392062489399205	0.0	3.062760869364819E-5	1.407618177852435E-4	2.698588965097116E-4	6.265477489143965E-4	0.061168077438096796	0.0	0.007488805469445453
2	0.12259875767535489	0.8183481834107281	0.029028116287497102	3.2730319395552225E-4	2.8678835741518627E-4	0.0	1.8133720108335011E-6	0.007847845784321747	5.559899714327129E-4	0.021005201947283933
3	0.0	0.01563742859364687	0.7718925351678192	0.04194501135331553	3.6673805658131516E-6	0.0018345739841022566	2.1757651471573567E-4	0.011323123878638047	0.009351435837175886	0.1477946472900208
4	0.0	2.861464182571885E-4	0.08924459883664293	0.7637066318136395	0.11049530711305589	0.005777641800992537	0.023312197411079226	0.0	0.0	0.007177476606332724
5	2.4689311289226248E-5	3.073218038754024E-5	2.6272646928139116E-5	0.011075141402791804	0.9587534288248362	0.026213986937829257	2.924967595732664E-4	3.6169948071115154E-4	0.0	0.00322155245565344
6	1.3872511116719027E-5	0.0	1.610399614372838E-4	2.9290819337574275E-4	0.01201461579872574	0.9750373247818078	3.536392348803127E-4	0.007127513799820304	0.0	0.004999085718835862
7	1.1892225555796654E-4	5.805210367788376E-6	1.7958675655489145E-5	0.0022796783108026235	3.104298125908549E-4	6.207720243605232E-4	0.947416896924729	0.048469515329987466	1.4363233558256338E-4	6.163891203657857E-4
8	4.2885475811518483E-4	2.980974557570025E-5	1.1329341511802666E-4	0.0	1.3774454464433887E-5	5.968600222790486E-4	0.001969679864587898	0.9772910529504187	0.01611540089997187	0.0034412738894691068
9	0.0	4.228956372084262E-5	0.0027230058191793647	0.0	0.0	0.0	4.296745917985793E-5	0.47536639238709616	0.5199432177584199	0.001882127012403869
10	0.002867352622542695	0.004064688064971676	0.06576019805469972	0.001549630154735315	0.0063479511545138	0.021215405203822462	0.0015789177805841123	0.17406360375892915	0.004035717886369305	0.7185165353188318
